Date,Time,Truth,Distance,St Dev,Successes,Attempts,RSSI(range),RTT(range),RSSI(scan),RTT(scan),Frequency,CenterFreq0,CenterFreq1,BW,Standard,BSSID,SSID,
2023-12-14,13-32-53.476,0.5,12.449,0.383,6,31,-85,1,-77,1,5745,5775,0,80,11ac,70:3a:cb:8d:fd:c5,"ayushidrawsablank",
2023-12-14,13-32-53.635,0.5,9.59,0.08,7,31,-83,1,-77,1,5745,5775,0,80,11ac,70:3a:cb:8d:fd:c5,"ayushidrawsablank",
2023-12-14,13-32-53.828,0.5,11.168,0.205,9,31,-87,1,-77,1,5745,5775,0,80,11ac,70:3a:cb:8d:fd:c5,"ayushidrawsablank",
2023-12-14,13-32-54.009,0.5,12.182,0.453,10,31,-84,1,-77,1,5745,5775,0,80,11ac,70:3a:cb:8d:fd:c5,"ayushidrawsablank",
2023-12-14,13-32-54.176,0.5,11.409,1.649,10,31,-85,1,-77,1,5745,5775,0,80,11ac,70:3a:cb:8d:fd:c5,"ayushidrawsablank",
2023-12-14,13-32-54.358,0.5,11.806,0.605,8,31,-85,1,-77,1,5745,5775,0,80,11ac,70:3a:cb:8d:fd:c5,"ayushidrawsablank",
2023-12-14,13-32-54.545,0.5,10.785,0.141,9,31,-87,1,-77,1,5745,5775,0,80,11ac,70:3a:cb:8d:fd:c5,"ayushidrawsablank",
2023-12-14,13-32-54.721,0.5,10.169,0.265,8,31,-87,1,-77,1,5745,5775,0,80,11ac,70:3a:cb:8d:fd:c5,"ayushidrawsablank",
2023-12-14,13-32-54.888,0.5,11.139,0.241,9,31,-87,1,-77,1,5745,5775,0,80,11ac,70:3a:cb:8d:fd:c5,"ayushidrawsablank",
2023-12-14,13-32-55.072,0.5,10.486,0.16,10,31,-85,1,-77,1,5745,5775,0,80,11ac,70:3a:cb:8d:fd:c5,"ayushidrawsablank",
2023-12-14,13-32-55.260,0.5,10.585,1.105,8,31,-85,1,-77,1,5745,5775,0,80,11ac,70:3a:cb:8d:fd:c5,"ayushidrawsablank",
2023-12-14,13-32-55.450,0.5,11.632,1.06,9,31,-85,1,-77,1,5745,5775,0,80,11ac,70:3a:cb:8d:fd:c5,"ayushidrawsablank",
2023-12-14,13-32-55.636,0.5,11.176,0.609,10,31,-84,1,-77,1,5745,5775,0,80,11ac,70:3a:cb:8d:fd:c5,"ayushidrawsablank",
2023-12-14,11-25-31.707,*,0,0,0,0,0,0,-77,1,5745,5775,0,80,11ac,70:3a:cb:8d:fd:c5,"ayushidrawsablank",
2023-12-14,13-32-56.003,0.5,10.681,0.025,9,31,-84,1,-77,1,5745,5775,0,80,11ac,70:3a:cb:8d:fd:c5,"ayushidrawsablank",
2023-12-14,13-32-56.200,0.5,11.097,1.165,11,31,-84,1,-77,1,5745,5775,0,80,11ac,70:3a:cb:8d:fd:c5,"ayushidrawsablank",
2023-12-14,13-32-56.380,0.5,10.545,0.206,9,31,-84,1,-77,1,5745,5775,0,80,11ac,70:3a:cb:8d:fd:c5,"ayushidrawsablank",
2023-12-14,13-32-56.568,0.5,10.918,0.648,9,31,-84,1,-77,1,5745,5775,0,80,11ac,70:3a:cb:8d:fd:c5,"ayushidrawsablank",
