Date,Time,Truth,Distance,St Dev,Successes,Attempts,RSSI(range),RTT(range),RSSI(scan),RTT(scan),Frequency,CenterFreq0,CenterFreq1,BW,Standard,BSSID,SSID,
2023-12-14,13-22-06.098,0.5,2.448,0.083,7,31,-45,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-06.280,0.5,1.062,0.744,10,31,-45,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-06.461,0.5,1.89,0.136,10,31,-45,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-06.642,0.5,1.138,0.117,11,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-06.831,0.5,1.073,0.432,10,31,-47,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-07.020,0.5,1.618,0.149,11,31,-47,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-07.197,0.5,1.065,0.168,11,31,-45,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-07.376,0.5,1.672,0.158,10,31,-45,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-07.568,0.5,1.147,0.623,11,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-07.744,0.5,1.369,0.357,13,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-07.932,0.5,0.893,0.618,11,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-08.117,0.5,1.045,0.112,10,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-08.311,0.5,1.758,0.142,11,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,11-25-31.707,*,0,0,0,0,0,0,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-08.703,0.5,0.714,0.478,11,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-08.895,0.5,0.674,0.438,12,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-09.084,0.5,0.928,0.602,11,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-09.272,0.5,1.752,0.114,11,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-09.452,0.5,0.644,0.556,11,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-09.638,0.5,1.251,0.354,11,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-09.823,0.5,0.637,0.406,11,31,-47,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-10.020,0.5,0.877,0.588,12,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-10.196,0.5,0.85,0.916,11,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-10.378,0.5,0.801,0.539,11,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,11-25-31.707,*,0,0,0,0,0,0,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-10.724,0.5,0.62,0.426,11,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-10.916,0.5,1.75,0.108,11,31,-47,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-11.123,0.5,0.605,0.446,9,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-11.312,0.5,1.756,0.091,6,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-11.503,0.5,1.778,0.134,9,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-11.704,0.5,1.715,0.111,7,31,-45,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-11.883,0.5,1.824,0.327,11,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,11-25-31.707,*,0,0,0,0,0,0,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-12.300,0.5,1.785,0.19,10,31,-45,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-12.490,0.5,0.395,0.071,11,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-12.678,0.5,0.415,0.145,11,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-12.883,0.5,1.204,0.661,11,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-13.071,0.5,1.049,0.099,12,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-13.255,0.5,0.472,0.059,10,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-13.419,0.5,1.673,0.124,10,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-13.604,0.5,0.674,0.486,11,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-13.791,0.5,1.078,0.108,9,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-13.976,0.5,1.191,0.265,12,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-14.149,0.5,0.555,0.32,11,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-14.345,0.5,1.059,0.116,11,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-14.528,0.5,1.315,0.281,11,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,13-22-14.719,0.5,1.012,0.672,9,31,-46,1,-46,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
