Date,Time,Truth,Distance,St Dev,Successes,Attempts,RSSI(range),RTT(range),RSSI(scan),RTT(scan),Frequency,CenterFreq0,CenterFreq1,BW,Standard,BSSID,SSID,e0,e1,
2024-02-23,17-45-39.010,0.5,14.52,0.137,5,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-39.168,0.5,14.631,0.123,10,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-39.319,0.5,14.386,0,5,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-39.468,0.5,14.532,0.116,4,31,-67,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-39.615,0.5,14.557,0.132,12,31,-67,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-39.758,0.5,14.469,0.124,8,31,-67,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-39.933,0.5,14.58,0.145,7,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-40.086,0.5,14.527,0.178,7,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-40.245,0.5,14.613,0.13,12,31,-67,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-40.411,0.5,14.57,0.115,14,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-40.572,0.5,14.493,0.149,8,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-40.726,0.5,14.664,0.055,12,31,-67,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-40.904,0.5,14.569,0.08,10,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-41.065,0.5,14.568,0.144,12,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-41.235,0.5,14.514,0.147,9,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-41.398,0.5,14.557,0.131,9,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-41.549,0.5,14.567,0.106,9,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-41.721,0.5,14.616,0.139,12,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-41.879,0.5,14.56,0.165,12,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-42.039,0.5,14.625,0.108,11,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-42.196,0.5,14.449,0.141,11,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-42.367,0.5,14.535,0.095,12,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-42.526,0.5,14.541,0.112,10,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-42.688,0.5,14.598,0.142,14,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-42.839,0.5,14.557,0.196,7,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-43.003,0.5,14.635,0.102,12,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-43.160,0.5,14.58,0.178,12,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-43.350,0.5,14.638,0.09,12,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-43.523,0.5,14.537,0.162,10,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-43.683,0.5,14.532,0.184,8,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-43.853,0.5,14.577,0.12,14,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-44.019,0.5,14.63,0.137,10,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-44.184,0.5,14.532,0.154,10,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-44.356,0.5,14.5,0.185,12,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-44.513,0.5,14.461,0.067,10,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-45-44.667,0.5,14.538,0.196,12,31,-66,1,-60,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
