Date,Time,Truth,Distance,St Dev,Successes,Attempts,RSSI(range),RTT(range),RSSI(scan),RTT(scan),Frequency,CenterFreq0,CenterFreq1,BW,Standard,BSSID,SSID,e0,e1,
2024-02-23,17-20-27.755,0.5,12.056,0,2,31,-63,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-27.899,0.5,12.221,0.197,8,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-28.049,0.5,12.106,0.058,7,31,-63,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-28.204,0.5,12.142,0.117,8,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-28.345,0.5,12.182,0.055,3,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-28.492,0.5,12.135,0.164,10,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-28.651,0.5,12.053,0.045,14,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-28.806,0.5,12.136,0.093,14,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-28.967,0.5,12.109,0.096,10,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-29.127,0.5,12.218,0.139,5,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-29.291,0.5,12.078,0.098,11,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-29.446,0.5,12.117,0.075,8,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-29.609,0.5,12.162,0.19,11,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-29.766,0.5,12.113,0.099,12,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-29.943,0.5,12.098,0.073,8,31,-63,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-30.117,0.5,12.154,0.045,6,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-30.281,0.5,12.058,0.064,7,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-30.434,0.5,12.081,0.069,10,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-30.590,0.5,12.145,0.088,4,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-30.784,0.5,12.076,0.024,7,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-30.959,0.5,12.172,0.151,7,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-31.119,0.5,12.125,0.111,5,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-31.271,0.5,12.12,0.105,10,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-31.426,0.5,12.125,0.08,9,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-31.586,0.5,12.132,0.141,12,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-31.793,0.5,12.124,0.075,12,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-31.958,0.5,12.047,0.088,12,31,-60,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-32.122,0.5,12.032,0.037,10,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-32.310,0.5,12.137,0.088,11,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-32.491,0.5,12.139,0.137,12,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-32.662,0.5,12.124,0.084,12,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-32.823,0.5,12.312,0.164,5,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-32.994,0.5,12.131,0.112,7,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-33.169,0.5,12.082,0.073,8,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-33.333,0.5,12.113,0.044,12,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-33.510,0.5,12.127,0.127,9,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-33.672,0.5,12.089,0.047,14,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-33.837,0.5,12.108,0.095,12,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-34.013,0.5,12.146,0.111,13,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-34.175,0.5,12.107,0.113,10,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-34.328,0.5,12.105,0.063,14,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-34.499,0.5,12.154,0.142,14,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-34.669,0.5,12.071,0.067,14,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-34.828,0.5,12.032,0.037,9,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-34.981,0.5,12.092,0.086,12,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-35.136,0.5,12.084,0.07,12,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-35.307,0.5,12.069,0.064,14,31,-61,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-35.502,0.5,12.077,0.062,14,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-35.660,0.5,11.947,0.08,12,31,-63,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-35.809,0.5,12.134,0.181,11,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-35.975,0.5,12.031,0.085,12,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-36.125,0.5,12.152,0.155,8,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-36.277,0.5,12.125,0.144,8,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-36.463,0.5,12.1,0.155,11,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-20-36.639,0.5,12.076,0.174,12,31,-62,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
