Date,Time,Truth,Distance,St Dev,Successes,Attempts,RSSI(range),RTT(range),RSSI(scan),RTT(scan),Frequency,CenterFreq0,CenterFreq1,BW,Standard,BSSID,SSID,e0,e1,
2024-02-23,17-32-43.378,0.5,15.876,0.276,4,31,-65,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-32-43.522,0.5,15.658,0.203,6,31,-65,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-32-43.670,0.5,15.625,0.236,13,31,-65,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-32-43.827,0.5,15.74,0.267,11,31,-65,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-32-43.974,0.5,15.489,0,4,31,-65,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-32-44.117,0.5,15.689,0.072,8,31,-65,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-32-44.269,0.5,15.608,0.178,9,31,-65,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-32-44.418,0.5,15.646,0.177,12,31,-65,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-32-44.568,0.5,15.643,0.135,8,31,-65,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-32-44.730,0.5,15.565,0.117,8,31,-65,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-32-44.882,0.5,15.649,0.272,11,31,-65,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-32-45.040,0.5,15.708,0.167,12,31,-65,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-32-45.181,0.5,15.67,0.196,14,31,-65,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-32-45.316,0.5,15.62,0.151,12,31,-65,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-32-45.497,0.5,15.631,0.181,10,31,-65,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-32-45.671,0.5,15.554,0.129,5,31,-65,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-32-45.827,0.5,15.751,0.205,10,31,-65,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-32-45.979,0.5,15.658,0.276,12,31,-65,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-32-46.125,0.5,15.621,0.192,9,31,-65,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-32-46.276,0.5,15.617,0.117,10,31,-65,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-32-46.438,0.5,15.552,0.091,10,31,-65,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
2024-02-23,17-32-46.614,0.5,15.621,0.199,9,31,-65,1,-59,1,5745,5775,0,80,11ac,9c:4f:5f:4c:36:04,"rtt-magic",5745,16,
